,id,surface_emprise,hauteur_mediane,typologie_bati_apur,periode_construction,centroide
18,fcda537a-0ade-443f-bf23-5bb88e3cc97b,139.3738915567836,4.699999999999999,3,6,"(655786.9866666667, 6857132.232222223)"
19,acbd6a93-5aaa-45a9-8ffd-562464b58429,196.15183994952818,5.9,3,8,"(655794.5273684211, 6857178.813157894)"
20,9824de6e-a17c-4d60-b966-8238ec201b62,515.3933398338216,11.0,3,8,"(656215.9607692307, 6857390.029230769)"
21,da1c3204-4e53-4a29-bd6a-0b37e39262a6,345.2512929860453,4.699999999999999,3,6,"(655791.928, 6857116.307999998)"
22,29a5fc72-322d-4c96-b1a5-c8b3740beab9,142.6373273099587,8.2,3,9,"(656230.5023529411, 6857063.054117646)"
23,1d014d1f-3b04-4297-bbd9-e66ade17957d,424.2939289586799,14.9,3,10,"(656177.0090476192, 6857031.756666666)"
24,de60ec23-a7b5-45cc-af01-5369eba927dc,892.2618963303561,9.4,3,11,"(656197.7518181818, 6857046.6881818175)"
25,dc8ce5a8-787a-4b81-affc-5b9f4efbf13d,81.25613525457688,5.299999999999999,0,5,"(656565.9442105263, 6857301.166315791)"
26,6426fe63-486a-4803-b317-1df9e5def90c,90.47172868878899,8.6,1,8,"(656559.5838461538, 6857303.540769231)"
27,f62f8236-eec5-4f51-8863-710e206d354f,98.21811873587824,4.6,1,5,"(656547.9366666666, 6857231.607777778)"
28,1f5ea971-6fd7-4cfc-9f8d-8ac3574433fc,57.37757328265974,15.8,1,9,"(656602.5889473684, 6857275.494736844)"
29,c0bda431-85e9-423d-98e8-34e1212399e2,75.89873315887716,8.1,1,9,"(656599.8788235293, 6857262.291764705)"
30,bf2c9529-6822-4e40-8937-a949137f51cc,52.33496830408333,5.7,0,3,"(656579.8345454546, 6857301.827272728)"
31,ecd19eb0-f626-4261-8edf-fa1dbff11439,16.9518943837046,3.1999999999999993,0,3,"(656581.0011111111, 6857291.36)"
32,c34e5af1-fd14-47fa-883b-fa456b24f561,137.08948510188426,8.3,1,9,"(656587.417368421, 6857271.1889473675)"
33,6a948dc4-8b8e-4211-ae68-38cf13ea4e47,243.84362173674276,11.0,1,3,"(656592.527894737, 6857221.477368422)"
34,60bae9a7-104d-4815-9c4a-528d7f36f3ee,95.65932168117949,4.6,1,5,"(656532.9311111111, 6857249.274444445)"
35,477989c2-8f84-406f-99a1-294c85addbc5,73.35497103640705,7.0,0,3,"(656589.3600000001, 6857239.65090909)"
